timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_louisville_georgia_tech,Feb 26,,Louisville,Georgia Tech,-16.5,87.0,13.0,96.0,4.0,140.5,51.0,49.0,24.0,76.0,94.0,6.0,88.0,12.0,9.0,27.0,False,True,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_ole_miss_florida,Feb 26,,Ole Miss,Florida,-5.5,81.0,19.0,92.0,8.0,139.5,64.0,36.0,45.0,55.0,92.0,8.0,90.0,10.0,11.0,19.0,False,True,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_tennessee_lsu,Feb 26,,Tennessee,LSU,18.5,32.0,68.0,22.0,78.0,163.5,39.0,61.0,29.0,71.0,11.0,89.0,36.0,64.0,10.0,10.0,False,False,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_north_carolina_virginia,Feb 26,,North Carolina,Virginia,-3.5,80.0,20.0,48.0,52.0,130.5,67.0,33.0,80.0,20.0,86.0,14.0,66.0,34.0,32.0,13.0,True,False,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_pittsburgh_miami_fl,Feb 26,,Pittsburgh,Miami FL,26.5,42.0,58.0,19.0,81.0,136.5,49.0,51.0,31.0,69.0,,,,,23.0,18.0,True,True,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_georgetown_uconn,Feb 26,,Georgetown,UConn,38.5,13.0,87.0,3.0,97.0,133.5,69.0,31.0,89.0,11.0,,,,,10.0,20.0,False,True,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_villanova_seton_hall,Feb 26,,Villanova,Seton Hall,-3.5,76.0,24.0,95.0,5.0,133.5,50.0,50.0,26.0,74.0,86.0,14.0,92.0,8.0,19.0,24.0,True,True,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_arkansas_oklahoma,Feb 26,,Arkansas,Oklahoma,28.5,24.0,76.0,38.0,62.0,165.5,25.0,75.0,38.0,62.0,7.0,93.0,15.0,85.0,14.0,13.0,False,False,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_kentucky_auburn,Feb 26,,Kentucky,Auburn,-15.5,80.0,20.0,89.0,11.0,121.5,76.0,24.0,65.0,35.0,93.0,7.0,43.0,57.0,9.0,11.0,False,False,1,,,,,,,,,,,,
2026-02-27T00:02:29.449328,vsin_dk,draftkings,wcbb,wcbb_20260226_syracuse_notre_dame,Feb 26,,Syracuse,Notre Dame,9.5,23.0,77.0,24.0,76.0,146.5,33.0,67.0,8.0,92.0,8.0,92.0,73.0,27.0,1.0,25.0,False,True,1,,,,,,,,,,,,
